ID,Audio,Emotion,Text,Semantic
0,kaggle/input/cremad/AudioWAV/1001_DFA_ANG_XX.wav,Anger,Don't forget a jacket,request_command
1,kaggle/input/cremad/AudioWAV/1001_DFA_DIS_XX.wav,Disgust,Don't forget a jacket,request_command
2,kaggle/input/cremad/AudioWAV/1001_DFA_FEA_XX.wav,Fear,Don't forget a jacket,request_command
3,kaggle/input/cremad/AudioWAV/1001_DFA_HAP_XX.wav,Happy,Don't forget a jacket,request_command
4,kaggle/input/cremad/AudioWAV/1001_DFA_NEU_XX.wav,Neutral,Don't forget a jacket,request_command
5,kaggle/input/cremad/AudioWAV/1001_DFA_SAD_XX.wav,Sad,Don't forget a jacket,request_command
6,kaggle/input/cremad/AudioWAV/1001_IEO_ANG_HI.wav,Anger,It's eleven o'clock,factual_statement
7,kaggle/input/cremad/AudioWAV/1001_IEO_ANG_LO.wav,Anger,It's eleven o'clock,factual_statement
8,kaggle/input/cremad/AudioWAV/1001_IEO_ANG_MD.wav,Anger,It's eleven o'clock,factual_statement
9,kaggle/input/cremad/AudioWAV/1001_IEO_DIS_HI.wav,Disgust,It's eleven o'clock,factual_statement
10,kaggle/input/cremad/AudioWAV/1001_IEO_DIS_LO.wav,Disgust,It's eleven o'clock,factual_statement
11,kaggle/input/cremad/AudioWAV/1001_IEO_DIS_MD.wav,Disgust,It's eleven o'clock,factual_statement
12,kaggle/input/cremad/AudioWAV/1001_IEO_FEA_HI.wav,Fear,It's eleven o'clock,factual_statement
13,kaggle/input/cremad/AudioWAV/1001_IEO_FEA_LO.wav,Fear,It's eleven o'clock,factual_statement
14,kaggle/input/cremad/AudioWAV/1001_IEO_FEA_MD.wav,Fear,It's eleven o'clock,factual_statement
15,kaggle/input/cremad/AudioWAV/1001_IEO_HAP_HI.wav,Happy,It's eleven o'clock,factual_statement
16,kaggle/input/cremad/AudioWAV/1001_IEO_HAP_LO.wav,Happy,It's eleven o'clock,factual_statement
17,kaggle/input/cremad/AudioWAV/1001_IEO_HAP_MD.wav,Happy,It's eleven o'clock,factual_statement
18,kaggle/input/cremad/AudioWAV/1001_IEO_NEU_XX.wav,Neutral,It's eleven o'clock,factual_statement
19,kaggle/input/cremad/AudioWAV/1001_IEO_SAD_HI.wav,Sad,It's eleven o'clock,factual_statement
20,kaggle/input/cremad/AudioWAV/1001_IEO_SAD_LO.wav,Sad,It's eleven o'clock,factual_statement
21,kaggle/input/cremad/AudioWAV/1001_IEO_SAD_MD.wav,Sad,It's eleven o'clock,factual_statement
22,kaggle/input/cremad/AudioWAV/1001_IOM_ANG_XX.wav,Anger,I'm on my way to the meeting,personal_statement
23,kaggle/input/cremad/AudioWAV/1001_IOM_DIS_XX.wav,Disgust,I'm on my way to the meeting,personal_statement
24,kaggle/input/cremad/AudioWAV/1001_IOM_FEA_XX.wav,Fear,I'm on my way to the meeting,personal_statement
25,kaggle/input/cremad/AudioWAV/1001_IOM_HAP_XX.wav,Happy,I'm on my way to the meeting,personal_statement
26,kaggle/input/cremad/AudioWAV/1001_IOM_NEU_XX.wav,Neutral,I'm on my way to the meeting,personal_statement
27,kaggle/input/cremad/AudioWAV/1001_IOM_SAD_XX.wav,Sad,I'm on my way to the meeting,personal_statement
28,kaggle/input/cremad/AudioWAV/1001_ITH_ANG_XX.wav,Anger,I think I have a doctor's appointment,personal_statement
29,kaggle/input/cremad/AudioWAV/1001_ITH_DIS_XX.wav,Disgust,I think I have a doctor's appointment,personal_statement
30,kaggle/input/cremad/AudioWAV/1001_ITH_FEA_XX.wav,Fear,I think I have a doctor's appointment,personal_statement
31,kaggle/input/cremad/AudioWAV/1001_ITH_HAP_XX.wav,Happy,I think I have a doctor's appointment,personal_statement
32,kaggle/input/cremad/AudioWAV/1001_ITH_NEU_XX.wav,Neutral,I think I have a doctor's appointment,personal_statement
33,kaggle/input/cremad/AudioWAV/1001_ITH_SAD_XX.wav,Sad,I think I have a doctor's appointment,personal_statement
34,kaggle/input/cremad/AudioWAV/1001_ITS_ANG_XX.wav,Anger,I think I've seen this before,personal_statement
35,kaggle/input/cremad/AudioWAV/1001_ITS_DIS_XX.wav,Disgust,I think I've seen this before,personal_statement
36,kaggle/input/cremad/AudioWAV/1001_ITS_FEA_XX.wav,Fear,I think I've seen this before,personal_statement
37,kaggle/input/cremad/AudioWAV/1001_ITS_HAP_XX.wav,Happy,I think I've seen this before,personal_statement
38,kaggle/input/cremad/AudioWAV/1001_ITS_NEU_XX.wav,Neutral,I think I've seen this before,personal_statement
39,kaggle/input/cremad/AudioWAV/1001_ITS_SAD_XX.wav,Sad,I think I've seen this before,personal_statement
40,kaggle/input/cremad/AudioWAV/1001_IWL_ANG_XX.wav,Anger,I would like a new alarm clock,personal_statement
41,kaggle/input/cremad/AudioWAV/1001_IWL_DIS_XX.wav,Disgust,I would like a new alarm clock,personal_statement
